,actual_kwh,actual_temperature,date,time,dow,month
2012-11-01 01:00:00-07:00,,60.1,11/1/2012,1:00:00,3,11
2012-11-01 01:15:00-07:00,,,11/1/2012,1:15:00,3,11
2012-11-01 01:30:00-07:00,,,11/1/2012,1:30:00,3,11
2012-11-01 01:45:00-07:00,,,11/1/2012,1:45:00,3,11
2012-11-01 02:00:00-07:00,,60.1,11/1/2012,2:00:00,3,11
2012-11-01 02:15:00-07:00,,60.8,11/1/2012,2:15:00,3,11
2012-11-01 02:30:00-07:00,,60.8,11/1/2012,2:30:00,3,11
2012-11-01 02:45:00-07:00,,,11/1/2012,2:45:00,3,11
2012-11-01 03:00:00-07:00,,60.1,11/1/2012,3:00:00,3,11
2012-11-01 03:15:00-07:00,,,11/1/2012,3:15:00,3,11
2012-11-01 03:30:00-07:00,,60.8,11/1/2012,3:30:00,3,11
2012-11-01 03:45:00-07:00,,,11/1/2012,3:45:00,3,11
2012-11-01 04:00:00-07:00,,60.1,11/1/2012,4:00:00,3,11
2012-11-01 04:15:00-07:00,,,11/1/2012,4:15:00,3,11
2012-11-01 04:30:00-07:00,,,11/1/2012,4:30:00,3,11
2012-11-01 04:45:00-07:00,,,11/1/2012,4:45:00,3,11
2012-11-01 05:00:00-07:00,,59,11/1/2012,5:00:00,3,11
2012-11-01 05:15:00-07:00,,,11/1/2012,5:15:00,3,11
2012-11-01 05:30:00-07:00,,,11/1/2012,5:30:00,3,11
2012-11-01 05:45:00-07:00,,60.8,11/1/2012,5:45:00,3,11
2012-11-01 06:00:00-07:00,,60.1,11/1/2012,6:00:00,3,11
2012-11-01 06:15:00-07:00,,,11/1/2012,6:15:00,3,11
2012-11-01 06:30:00-07:00,,,11/1/2012,6:30:00,3,11
2012-11-01 06:45:00-07:00,,,11/1/2012,6:45:00,3,11
2012-11-01 07:00:00-07:00,,60.1,11/1/2012,7:00:00,3,11
2012-11-01 07:15:00-07:00,,60.8,11/1/2012,7:15:00,3,11
2012-11-01 07:30:00-07:00,,,11/1/2012,7:30:00,3,11
2012-11-01 07:45:00-07:00,,,11/1/2012,7:45:00,3,11
2012-11-01 08:00:00-07:00,,60.1,11/1/2012,8:00:00,3,11
2012-11-01 08:15:00-07:00,,,11/1/2012,8:15:00,3,11
2012-11-01 08:30:00-07:00,,,11/1/2012,8:30:00,3,11
2012-11-01 08:45:00-07:00,,,11/1/2012,8:45:00,3,11
2012-11-01 09:00:00-07:00,,61,11/1/2012,9:00:00,3,11
2012-11-01 09:15:00-07:00,,,11/1/2012,9:15:00,3,11
2012-11-01 09:30:00-07:00,,,11/1/2012,9:30:00,3,11
2012-11-01 09:45:00-07:00,,,11/1/2012,9:45:00,3,11
2012-11-01 10:00:00-07:00,,61,11/1/2012,10:00:00,3,11
2012-11-01 10:15:00-07:00,,,11/1/2012,10:15:00,3,11
2012-11-01 10:30:00-07:00,,,11/1/2012,10:30:00,3,11
2012-11-01 10:45:00-07:00,,,11/1/2012,10:45:00,3,11
2012-11-01 11:00:00-07:00,,62.1,11/1/2012,11:00:00,3,11
2012-11-01 11:15:00-07:00,,,11/1/2012,11:15:00,3,11
2012-11-01 11:30:00-07:00,,,11/1/2012,11:30:00,3,11
2012-11-01 11:45:00-07:00,,,11/1/2012,11:45:00,3,11
2012-11-01 12:00:00-07:00,,62.1,11/1/2012,12:00:00,3,11
2012-11-01 12:15:00-07:00,,,11/1/2012,12:15:00,3,11
2012-11-01 12:30:00-07:00,,,11/1/2012,12:30:00,3,11
2012-11-01 12:45:00-07:00,,,11/1/2012,12:45:00,3,11
2012-11-01 13:00:00-07:00,,64.9,11/1/2012,13:00:00,3,11
2012-11-01 13:15:00-07:00,,,11/1/2012,13:15:00,3,11
2012-11-01 13:30:00-07:00,,,11/1/2012,13:30:00,3,11
2012-11-01 13:45:00-07:00,,,11/1/2012,13:45:00,3,11
2012-11-01 14:00:00-07:00,,64.9,11/1/2012,14:00:00,3,11
2012-11-01 14:15:00-07:00,,,11/1/2012,14:15:00,3,11
2012-11-01 14:30:00-07:00,,,11/1/2012,14:30:00,3,11
2012-11-01 14:45:00-07:00,,,11/1/2012,14:45:00,3,11
2012-11-01 15:00:00-07:00,,64,11/1/2012,15:00:00,3,11
2012-11-01 15:15:00-07:00,,,11/1/2012,15:15:00,3,11
2012-11-01 15:30:00-07:00,,,11/1/2012,15:30:00,3,11
2012-11-01 15:45:00-07:00,,,11/1/2012,15:45:00,3,11
2012-11-01 16:00:00-07:00,,64,11/1/2012,16:00:00,3,11
2012-11-01 16:15:00-07:00,,,11/1/2012,16:15:00,3,11
2012-11-01 16:30:00-07:00,,,11/1/2012,16:30:00,3,11
2012-11-01 16:45:00-07:00,,,11/1/2012,16:45:00,3,11
2012-11-01 17:00:00-07:00,,63,11/1/2012,17:00:00,3,11
2012-11-01 17:15:00-07:00,,,11/1/2012,17:15:00,3,11
2012-11-01 17:30:00-07:00,,,11/1/2012,17:30:00,3,11
2012-11-01 17:45:00-07:00,,,11/1/2012,17:45:00,3,11
2012-11-01 18:00:00-07:00,,62.1,11/1/2012,18:00:00,3,11
2012-11-01 18:15:00-07:00,,,11/1/2012,18:15:00,3,11
2012-11-01 18:30:00-07:00,,59,11/1/2012,18:30:00,3,11
2012-11-01 18:45:00-07:00,,,11/1/2012,18:45:00,3,11
2012-11-01 19:00:00-07:00,,57.9,11/1/2012,19:00:00,3,11
2012-11-01 19:15:00-07:00,,,11/1/2012,19:15:00,3,11
2012-11-01 19:30:00-07:00,,,11/1/2012,19:30:00,3,11
2012-11-01 19:45:00-07:00,,,11/1/2012,19:45:00,3,11
2012-11-01 20:00:00-07:00,,57.9,11/1/2012,20:00:00,3,11
2012-11-01 20:15:00-07:00,,,11/1/2012,20:15:00,3,11
2012-11-01 20:30:00-07:00,,,11/1/2012,20:30:00,3,11
2012-11-01 20:45:00-07:00,,,11/1/2012,20:45:00,3,11
2012-11-01 21:00:00-07:00,,57,11/1/2012,21:00:00,3,11
2012-11-01 21:15:00-07:00,,,11/1/2012,21:15:00,3,11
2012-11-01 21:30:00-07:00,,,11/1/2012,21:30:00,3,11
2012-11-01 21:45:00-07:00,,,11/1/2012,21:45:00,3,11
2012-11-01 22:00:00-07:00,,55.9,11/1/2012,22:00:00,3,11
2012-11-01 22:15:00-07:00,,,11/1/2012,22:15:00,3,11
2012-11-01 22:30:00-07:00,,,11/1/2012,22:30:00,3,11
2012-11-01 22:45:00-07:00,,,11/1/2012,22:45:00,3,11
2012-11-01 23:00:00-07:00,,55.9,11/1/2012,23:00:00,3,11
2012-11-01 23:15:00-07:00,,,11/1/2012,23:15:00,3,11
2012-11-01 23:30:00-07:00,,,11/1/2012,23:30:00,3,11
2012-11-01 23:45:00-07:00,,,11/1/2012,23:45:00,3,11
2012-11-02 00:00:00-07:00,,55.9,11/2/2012,0:00:00,4,11
2012-11-02 00:15:00-07:00,45.6,,11/2/2012,0:15:00,4,11
2012-11-02 00:30:00-07:00,45.9,,11/2/2012,0:30:00,4,11
2012-11-02 00:45:00-07:00,46.8,,11/2/2012,0:45:00,4,11
2012-11-02 01:00:00-07:00,45.9,55,11/2/2012,1:00:00,4,11
2012-11-02 01:15:00-07:00,47.4,,11/2/2012,1:15:00,4,11
2012-11-02 01:30:00-07:00,45.3,,11/2/2012,1:30:00,4,11
2012-11-02 01:45:00-07:00,45.9,,11/2/2012,1:45:00,4,11
2012-11-02 02:00:00-07:00,45.3,54,11/2/2012,2:00:00,4,11
2012-11-02 02:15:00-07:00,46.5,,11/2/2012,2:15:00,4,11
2012-11-02 02:30:00-07:00,46.2,,11/2/2012,2:30:00,4,11
2012-11-02 02:45:00-07:00,44.4,,11/2/2012,2:45:00,4,11
2012-11-02 03:00:00-07:00,43.2,53.1,11/2/2012,3:00:00,4,11
2012-11-02 03:15:00-07:00,45.6,,11/2/2012,3:15:00,4,11
2012-11-02 03:30:00-07:00,44.4,,11/2/2012,3:30:00,4,11
2012-11-02 03:45:00-07:00,43.5,,11/2/2012,3:45:00,4,11
2012-11-02 04:00:00-07:00,45.3,52,11/2/2012,4:00:00,4,11
2012-11-02 04:15:00-07:00,45,,11/2/2012,4:15:00,4,11
2012-11-02 04:30:00-07:00,43.8,,11/2/2012,4:30:00,4,11
2012-11-02 04:45:00-07:00,44.7,,11/2/2012,4:45:00,4,11
2012-11-02 05:00:00-07:00,46.2,52,11/2/2012,5:00:00,4,11
2012-11-02 05:15:00-07:00,43.5,,11/2/2012,5:15:00,4,11
2012-11-02 05:30:00-07:00,44.1,,11/2/2012,5:30:00,4,11
2012-11-02 05:45:00-07:00,46.5,,11/2/2012,5:45:00,4,11
2012-11-02 06:00:00-07:00,47.7,52,11/2/2012,6:00:00,4,11
2012-11-02 06:15:00-07:00,63.3,,11/2/2012,6:15:00,4,11
